Component Name,Type,Machine,Status,Location,Description
Evaporator Heat Exchanger,Heat Exchanger,Carrier 30RB Chiller System,Healthy,Evaporator Section,Flooded type shell-and-tube evaporator
Condenser Fan Motor 1,Motor,Carrier 30RB Chiller System,Healthy,Condenser Section,3-phase 5.5kW condenser fan motor
Refrigerant Level Sensor,Sensor,Carrier 30RB Chiller System,Healthy,Refrigerant Circuit,Danfoss EKC pressure/level transmitter
EDM Electrode Feed Motor,Servo Motor,Mitsubishi MV2400S EDM,Healthy,Electrode Head,Mitsubishi MDS-D-SVJ3 servo motor
Dielectric Pump,Pump,Mitsubishi MV2400S EDM,Warning,Dielectric Tank,20 L/min dielectric fluid circulation pump
Spark Generator,Power Supply,Mitsubishi MV2400S EDM,Healthy,Control Cabinet,Mitsubishi M730 series EDM power supply
Dielectric Filtration System,Filter,Mitsubishi MV2400S EDM,Healthy,Filtration Unit,5-micron cartridge filter with auto-backwash
Work Tank Assembly,Structural,Mitsubishi MV2400S EDM,Healthy,Machine Base,Stainless steel work tank - 800L capacity
Ram Hydraulic Cylinder,Hydraulic Cylinder,Amada HFE 220-4 Press Brake,Healthy,Ram Assembly,220-ton capacity hydraulic cylinders (dual)
Back Gauge Motor X,Servo Motor,Amada HFE 220-4 Press Brake,Healthy,Back Gauge,X-axis positioning servo for back gauge
Back Gauge Motor R,Servo Motor,Amada HFE 220-4 Press Brake,Warning,Back Gauge,R-axis (angle) positioning servo - encoder drift
Crowning System,Hydraulic System,Amada HFE 220-4 Press Brake,Healthy,Ram,Automatic crowning compensation system
Tool Clamping System,Mechanical,Amada HFE 220-4 Press Brake,Healthy,Ram/Table,Amada PROMECAM quick-change tooling system
Main Spindle Unit,Spindle,DMG MORI NLX 2500 Lathe,Healthy,Main Spindle,Built-in motor spindle - 5000 RPM max
Sub-Spindle Unit,Spindle,DMG MORI NLX 2500 Lathe,Warning,Sub-Spindle,Counter spindle for part transfer - alignment issue
Y-Axis Milling Motor,Motor,DMG MORI NLX 2500 Lathe,Healthy,Y-Axis Assembly,Milling motor for Y-axis machining - 18kW
Barfeeder Interface,Material Handling,DMG MORI NLX 2500 Lathe,Healthy,Machine Rear,Interface for LNS Quick Load barfeeder
Tool Turret Lower,Tool Holder,DMG MORI NLX 2500 Lathe,Healthy,Lower Turret,BMT 65 turret with live tooling - 12 stations
Spindle Motor A-Axis,Motor,Mazak VARIAXIS i-700,Healthy,Spindle Head,Built-in 26kW spindle motor
Rotary Table B-Axis,Rotary Table,Mazak VARIAXIS i-700,Warning,Table Assembly,Trunnion-style rotary table - backlash detected
Pallet Changer System,Material Handling,Mazak VARIAXIS i-700,Healthy,Machine Base,Automatic pallet changer - 2-pallet system
Coolant Through-Spindle,Coolant System,Mazak VARIAXIS i-700,Healthy,Spindle Assembly,70 bar through-spindle coolant system
Chip Management System,Conveyor,Mazak VARIAXIS i-700,Critical,Machine Base,Chip conveyor jammed - requires immediate service
